card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,1914,0.17307692307692307,1921.1538461538462,-7.153846153846189,0.003723723723723742,False
3 of Clubs,1892,0.17307692307692307,1921.1538461538462,-29.15384615384619,0.015175175175175193,False
4 of Clubs,1930,0.17307692307692307,1921.1538461538462,8.846153846153811,0.004604604604604586,False
5 of Clubs,1900,0.17307692307692307,1921.1538461538462,-21.15384615384619,0.011011011011011028,False
6 of Clubs,1925,0.17307692307692307,1921.1538461538462,3.846153846153811,0.0020020020020019838,False
7 of Clubs,1923,0.17307692307692307,1921.1538461538462,1.8461538461538112,0.0009609609609609427,False
8 of Clubs,1906,0.17307692307692307,1921.1538461538462,-15.153846153846189,0.007887887887887905,False
9 of Clubs,1830,0.17307692307692307,1921.1538461538462,-91.15384615384619,0.047447447447447465,False
10 of Clubs,1945,0.17307692307692307,1921.1538461538462,23.84615384615381,0.012412412412412394,False
Jack of Clubs,1877,0.17307692307692307,1921.1538461538462,-44.15384615384619,0.022982982982983,False
Queen of Clubs,1832,0.17307692307692307,1921.1538461538462,-89.15384615384619,0.04640640640640643,False
King of Clubs,1915,0.17307692307692307,1921.1538461538462,-6.153846153846189,0.0032032032032032216,False
Ace of Clubs,1864,0.17307692307692307,1921.1538461538462,-57.15384615384619,0.029749749749749768,False
2 of Diamonds,1869,0.17307692307692307,1921.1538461538462,-52.15384615384619,0.027147147147147166,False
3 of Diamonds,2030,0.17307692307692307,1921.1538461538462,108.84615384615381,0.05665665665665664,False
4 of Diamonds,1915,0.17307692307692307,1921.1538461538462,-6.153846153846189,0.0032032032032032216,False
5 of Diamonds,1978,0.17307692307692307,1921.1538461538462,56.84615384615381,0.02958958958958957,False
6 of Diamonds,1927,0.17307692307692307,1921.1538461538462,5.846153846153811,0.003043043043043025,False
7 of Diamonds,1967,0.17307692307692307,1921.1538461538462,45.84615384615381,0.023863863863863844,False
8 of Diamonds,1939,0.17307692307692307,1921.1538461538462,17.84615384615381,0.00928928928928927,False
9 of Diamonds,1968,0.17307692307692307,1921.1538461538462,46.84615384615381,0.024384384384384367,False
10 of Diamonds,1982,0.17307692307692307,1921.1538461538462,60.84615384615381,0.031671671671671654,False
Jack of Diamonds,1967,0.17307692307692307,1921.1538461538462,45.84615384615381,0.023863863863863844,False
Queen of Diamonds,1949,0.17307692307692307,1921.1538461538462,27.84615384615381,0.014494494494494477,False
King of Diamonds,1914,0.17307692307692307,1921.1538461538462,-7.153846153846189,0.003723723723723742,False
Ace of Diamonds,1926,0.17307692307692307,1921.1538461538462,4.846153846153811,0.002522522522522504,False
2 of Hearts,1813,0.17307692307692307,1921.1538461538462,-108.15384615384619,0.056296296296296316,False
3 of Hearts,1916,0.17307692307692307,1921.1538461538462,-5.153846153846189,0.0026826826826827008,False
4 of Hearts,1898,0.17307692307692307,1921.1538461538462,-23.15384615384619,0.01205205205205207,False
5 of Hearts,1926,0.17307692307692307,1921.1538461538462,4.846153846153811,0.002522522522522504,False
6 of Hearts,1870,0.17307692307692307,1921.1538461538462,-51.15384615384619,0.026626626626626643,False
7 of Hearts,1926,0.17307692307692307,1921.1538461538462,4.846153846153811,0.002522522522522504,False
8 of Hearts,1866,0.17307692307692307,1921.1538461538462,-55.15384615384619,0.028708708708708727,False
9 of Hearts,1934,0.17307692307692307,1921.1538461538462,12.846153846153811,0.006686686686686668,False
10 of Hearts,1883,0.17307692307692307,1921.1538461538462,-38.15384615384619,0.01985985985985988,False
Jack of Hearts,1946,0.17307692307692307,1921.1538461538462,24.84615384615381,0.012932932932932914,False
Queen of Hearts,1928,0.17307692307692307,1921.1538461538462,6.846153846153811,0.0035635635635635453,False
King of Hearts,1954,0.17307692307692307,1921.1538461538462,32.84615384615381,0.01709709709709708,False
Ace of Hearts,2008,0.17307692307692307,1921.1538461538462,86.84615384615381,0.045205205205205184,False
2 of Spades,1861,0.17307692307692307,1921.1538461538462,-60.15384615384619,0.03131131131131133,False
3 of Spades,1916,0.17307692307692307,1921.1538461538462,-5.153846153846189,0.0026826826826827008,False
4 of Spades,1909,0.17307692307692307,1921.1538461538462,-12.153846153846189,0.006326326326326345,False
5 of Spades,1906,0.17307692307692307,1921.1538461538462,-15.153846153846189,0.007887887887887905,False
6 of Spades,1842,0.17307692307692307,1921.1538461538462,-79.15384615384619,0.041201201201201215,False
7 of Spades,1932,0.17307692307692307,1921.1538461538462,10.846153846153811,0.005645645645645628,False
8 of Spades,1961,0.17307692307692307,1921.1538461538462,39.84615384615381,0.020740740740740723,False
9 of Spades,1932,0.17307692307692307,1921.1538461538462,10.846153846153811,0.005645645645645628,False
10 of Spades,1908,0.17307692307692307,1921.1538461538462,-13.153846153846189,0.0068468468468468645,False
Jack of Spades,1969,0.17307692307692307,1921.1538461538462,47.84615384615381,0.024904904904904886,False
Queen of Spades,1945,0.17307692307692307,1921.1538461538462,23.84615384615381,0.012412412412412394,False
King of Spades,1928,0.17307692307692307,1921.1538461538462,6.846153846153811,0.0035635635635635453,False
Ace of Spades,2039,0.17307692307692307,1921.1538461538462,117.84615384615381,0.061341341341341324,False
