hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,87,75,0.8620689655172413,0.8500000000000001,True
Queens paired,108,89,0.8240740740740741,0.8,True
Kings paired,97,78,0.8041237113402062,0.8,True
9s paired,85,67,0.788235294117647,0.75,True
Jacks paired,103,78,0.7572815533980582,0.75,True
10s paired,89,66,0.7415730337078652,0.7000000000000001,True
"Ace, Jack off suit",224,162,0.7232142857142857,0.7000000000000001,True
"Ace, 3 suited",72,52,0.7222222222222222,0.7000000000000001,True
"King, 7 suited",75,54,0.72,0.7000000000000001,True
7s paired,84,60,0.7142857142857143,0.7000000000000001,True
"Ace, Jack suited",70,50,0.7142857142857143,0.7000000000000001,True
"Ace, 10 suited",61,43,0.7049180327868853,0.7000000000000001,True
6s paired,89,62,0.6966292134831461,0.65,True
8s paired,92,64,0.6956521739130435,0.65,True
"Ace, 10 off suit",203,139,0.6847290640394089,0.65,True
"Ace, King suited",60,41,0.6833333333333333,0.65,True
"King, Queen off suit",208,142,0.6826923076923077,0.65,True
"King, 8 suited",56,38,0.6785714285714286,0.65,True
"Ace, Queen off suit",199,135,0.678391959798995,0.65,True
"Ace, King off suit",196,132,0.673469387755102,0.65,True
"Ace, 4 suited",66,44,0.6666666666666666,0.65,True
"Ace, Queen suited",87,58,0.6666666666666666,0.65,True
"Ace, 9 suited",66,44,0.6666666666666666,0.65,True
"Ace, 5 suited",69,46,0.6666666666666666,0.65,True
"Queen, 9 suited",71,47,0.6619718309859155,0.65,True
"Jack, 10 suited",65,42,0.6461538461538462,0.6000000000000001,True
"King, 10 off suit",195,125,0.6410256410256411,0.6000000000000001,True
"King, Jack suited",58,37,0.6379310344827587,0.6000000000000001,True
"King, 9 suited",80,51,0.6375,0.6000000000000001,True
"Queen, 5 suited",60,38,0.6333333333333333,0.6000000000000001,True
"9, 5 suited",79,50,0.6329113924050633,0.6000000000000001,True
"Queen, Jack suited",59,37,0.6271186440677966,0.6000000000000001,True
"Ace, 9 off suit",206,128,0.6213592233009708,0.6000000000000001,True
"King, Jack off suit",205,127,0.6195121951219512,0.6000000000000001,True
5s paired,113,70,0.6194690265486725,0.6000000000000001,True
"Queen, 10 off suit",202,125,0.6188118811881188,0.6000000000000001,True
3s paired,104,64,0.6153846153846154,0.6000000000000001,True
"Ace, 8 off suit",194,119,0.6134020618556701,0.6000000000000001,True
4s paired,93,57,0.6129032258064516,0.6000000000000001,True
"King, 10 suited",59,36,0.6101694915254238,0.6000000000000001,True
"Jack, 9 off suit",212,129,0.6084905660377359,0.6000000000000001,True
"Ace, 6 off suit",214,129,0.602803738317757,0.6000000000000001,True
"8, 5 suited",70,42,0.6,0.55,True
"King, Queen suited",62,37,0.5967741935483871,0.55,True
"9, 8 suited",62,37,0.5967741935483871,0.55,True
"King, 3 off suit",203,121,0.5960591133004927,0.55,True
"King, 9 off suit",198,117,0.5909090909090909,0.55,True
"King, 3 suited",66,39,0.5909090909090909,0.55,True
"Jack, 8 suited",63,37,0.5873015873015873,0.55,True
"Jack, 10 off suit",208,122,0.5865384615384616,0.55,True
"Queen, 8 off suit",188,110,0.5851063829787234,0.55,True
"Ace, 4 off suit",195,114,0.5846153846153846,0.55,True
"King, 4 suited",72,42,0.5833333333333334,0.55,True
"Ace, 7 suited",67,39,0.582089552238806,0.55,True
"Queen, 6 suited",74,43,0.581081081081081,0.55,True
"King, 7 off suit",214,124,0.5794392523364486,0.55,True
"King, 6 suited",57,33,0.5789473684210527,0.55,True
"Ace, 8 suited",64,37,0.578125,0.55,True
"King, 8 off suit",217,125,0.576036866359447,0.55,True
"10, 4 suited",87,50,0.5747126436781609,0.55,True
"Queen, 6 off suit",190,109,0.5736842105263158,0.55,True
"Ace, 6 suited",75,43,0.5733333333333334,0.55,True
"Ace, 5 off suit",210,120,0.5714285714285714,0.55,True
"9, 7 suited",65,37,0.5692307692307692,0.55,True
"Queen, Jack off suit",184,104,0.5652173913043478,0.55,True
"Ace, 3 off suit",234,132,0.5641025641025641,0.55,True
"Ace, 7 off suit",218,122,0.5596330275229358,0.55,True
"King, 5 suited",68,38,0.5588235294117647,0.55,True
