card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,11491,0.28846153846153844,11538.461538461537,-47.4615384615372,0.004113333333333225,False
3 of Clubs,11460,0.28846153846153844,11538.461538461537,-78.4615384615372,0.006799999999999891,False
4 of Clubs,11443,0.28846153846153844,11538.461538461537,-95.4615384615372,0.008273333333333225,False
5 of Clubs,11567,0.28846153846153844,11538.461538461537,28.538461538462798,0.0024733333333334427,False
6 of Clubs,11496,0.28846153846153844,11538.461538461537,-42.4615384615372,0.0036799999999998913,False
7 of Clubs,11436,0.28846153846153844,11538.461538461537,-102.4615384615372,0.008879999999999891,False
8 of Clubs,11777,0.28846153846153844,11538.461538461537,238.5384615384628,0.020673333333333446,True
9 of Clubs,11541,0.28846153846153844,11538.461538461537,2.5384615384627978,0.00022000000000010916,False
10 of Clubs,11473,0.28846153846153844,11538.461538461537,-65.4615384615372,0.005673333333333225,False
Jack of Clubs,11550,0.28846153846153844,11538.461538461537,11.538461538462798,0.0010000000000001093,False
Queen of Clubs,11650,0.28846153846153844,11538.461538461537,111.5384615384628,0.009666666666666776,False
King of Clubs,11503,0.28846153846153844,11538.461538461537,-35.4615384615372,0.0030733333333332244,False
Ace of Clubs,11595,0.28846153846153844,11538.461538461537,56.5384615384628,0.00490000000000011,False
2 of Diamonds,11480,0.28846153846153844,11538.461538461537,-58.4615384615372,0.005066666666666558,False
3 of Diamonds,11518,0.28846153846153844,11538.461538461537,-20.461538461537202,0.0017733333333332243,False
4 of Diamonds,11452,0.28846153846153844,11538.461538461537,-86.4615384615372,0.007493333333333225,False
5 of Diamonds,11509,0.28846153846153844,11538.461538461537,-29.461538461537202,0.0025533333333332244,False
6 of Diamonds,11580,0.28846153846153844,11538.461538461537,41.5384615384628,0.0036000000000001096,False
7 of Diamonds,11469,0.28846153846153844,11538.461538461537,-69.4615384615372,0.006019999999999892,False
8 of Diamonds,11693,0.28846153846153844,11538.461538461537,154.5384615384628,0.013393333333333445,True
9 of Diamonds,11658,0.28846153846153844,11538.461538461537,119.5384615384628,0.01036000000000011,True
10 of Diamonds,11709,0.28846153846153844,11538.461538461537,170.5384615384628,0.01478000000000011,True
Jack of Diamonds,11545,0.28846153846153844,11538.461538461537,6.538461538462798,0.0005666666666667759,False
Queen of Diamonds,11693,0.28846153846153844,11538.461538461537,154.5384615384628,0.013393333333333445,True
King of Diamonds,11686,0.28846153846153844,11538.461538461537,147.5384615384628,0.012786666666666778,True
Ace of Diamonds,11630,0.28846153846153844,11538.461538461537,91.5384615384628,0.007933333333333443,False
2 of Hearts,11500,0.28846153846153844,11538.461538461537,-38.4615384615372,0.0033333333333332247,False
3 of Hearts,11525,0.28846153846153844,11538.461538461537,-13.461538461537202,0.0011666666666665577,False
4 of Hearts,11511,0.28846153846153844,11538.461538461537,-27.461538461537202,0.0023799999999998913,False
5 of Hearts,11515,0.28846153846153844,11538.461538461537,-23.461538461537202,0.0020333333333332243,False
6 of Hearts,11544,0.28846153846153844,11538.461538461537,5.538461538462798,0.0004800000000001092,False
7 of Hearts,11431,0.28846153846153844,11538.461538461537,-107.4615384615372,0.009313333333333226,False
8 of Hearts,11523,0.28846153846153844,11538.461538461537,-15.461538461537202,0.001339999999999891,False
9 of Hearts,11483,0.28846153846153844,11538.461538461537,-55.4615384615372,0.004806666666666558,False
10 of Hearts,11460,0.28846153846153844,11538.461538461537,-78.4615384615372,0.006799999999999891,False
Jack of Hearts,11654,0.28846153846153844,11538.461538461537,115.5384615384628,0.010013333333333443,True
Queen of Hearts,11550,0.28846153846153844,11538.461538461537,11.538461538462798,0.0010000000000001093,False
King of Hearts,11527,0.28846153846153844,11538.461538461537,-11.461538461537202,0.0009933333333332244,False
Ace of Hearts,11570,0.28846153846153844,11538.461538461537,31.538461538462798,0.0027333333333334426,False
2 of Spades,11455,0.28846153846153844,11538.461538461537,-83.4615384615372,0.007233333333333225,False
3 of Spades,11541,0.28846153846153844,11538.461538461537,2.5384615384627978,0.00022000000000010916,False
4 of Spades,11654,0.28846153846153844,11538.461538461537,115.5384615384628,0.010013333333333443,True
5 of Spades,11645,0.28846153846153844,11538.461538461537,106.5384615384628,0.009233333333333444,False
6 of Spades,11336,0.28846153846153844,11538.461538461537,-202.4615384615372,0.017546666666666558,True
7 of Spades,11488,0.28846153846153844,11538.461538461537,-50.4615384615372,0.004373333333333225,False
8 of Spades,11442,0.28846153846153844,11538.461538461537,-96.4615384615372,0.008359999999999892,False
9 of Spades,11433,0.28846153846153844,11538.461538461537,-105.4615384615372,0.009139999999999891,False
10 of Spades,11533,0.28846153846153844,11538.461538461537,-5.461538461537202,0.00047333333333322424,False
Jack of Spades,11374,0.28846153846153844,11538.461538461537,-164.4615384615372,0.014253333333333226,True
Queen of Spades,11491,0.28846153846153844,11538.461538461537,-47.4615384615372,0.004113333333333225,False
King of Spades,11471,0.28846153846153844,11538.461538461537,-67.4615384615372,0.005846666666666558,False
Ace of Spades,11740,0.28846153846153844,11538.461538461537,201.5384615384628,0.017466666666666776,True
