hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,903,455,0.5038759689922481,0.5,True
Kings paired,878,382,0.43507972665148065,0.4,True
Queens paired,946,353,0.37315010570824525,0.35000000000000003,True
Jacks paired,892,316,0.3542600896860987,0.35000000000000003,True
"Ace, King suited",596,201,0.337248322147651,0.30000000000000004,True
"Ace, 10 suited",599,199,0.332220367278798,0.30000000000000004,True
"King, Queen suited",581,175,0.30120481927710846,0.30000000000000004,True
"Ace, King off suit",1809,544,0.30071862907683805,0.30000000000000004,False
"King, 10 suited",584,174,0.2979452054794521,0.25,True
10s paired,944,274,0.2902542372881356,0.25,True
"Queen, Jack suited",613,177,0.28874388254486133,0.25,True
"Ace, Queen suited",654,187,0.28593272171253825,0.25,True
"King, Jack suited",577,164,0.28422876949740034,0.25,True
"Ace, Queen off suit",1785,501,0.280672268907563,0.25,False
"Jack, 10 suited",617,171,0.2771474878444084,0.25,True
"Ace, Jack off suit",1785,490,0.27450980392156865,0.25,False
"Ace, 5 suited",588,160,0.272108843537415,0.25,True
9s paired,916,247,0.26965065502183405,0.25,True
"Ace, Jack suited",574,151,0.26306620209059234,0.25,True
"Ace, 9 suited",610,160,0.26229508196721313,0.25,True
"Queen, 10 suited",611,160,0.2618657937806874,0.25,True
"Queen, 10 off suit",1855,474,0.2555256064690027,0.25,False
"10, 9 suited",636,162,0.25471698113207547,0.25,True
"Queen, 9 suited",597,152,0.254606365159129,0.25,True
8s paired,892,221,0.24775784753363228,0.2,True
"King, Queen off suit",1771,438,0.24731789949181254,0.2,False
"King, 10 off suit",1789,442,0.2470653996646171,0.2,False
"Ace, 6 suited",611,150,0.24549918166939444,0.2,True
"Queen, Jack off suit",1846,453,0.24539544962080173,0.2,False
"Jack, 10 off suit",1818,441,0.24257425742574257,0.2,False
"Ace, 10 off suit",1746,416,0.23825887743413515,0.2,False
"Ace, 8 suited",623,148,0.2375601926163724,0.2,True
"Ace, 4 suited",604,141,0.23344370860927152,0.2,True
"King, 9 suited",558,129,0.23118279569892472,0.2,True
"10, 8 suited",588,135,0.22959183673469388,0.2,True
"King, Jack off suit",1868,426,0.22805139186295503,0.2,False
"King, 8 suited",579,132,0.22797927461139897,0.2,True
"Ace, 7 suited",577,131,0.2270363951473137,0.2,True
"Ace, 3 suited",582,131,0.22508591065292097,0.2,True
"Jack, 9 suited",661,148,0.22390317700453857,0.2,True
"King, 7 suited",611,136,0.2225859247135843,0.2,True
"9, 8 suited",624,138,0.22115384615384615,0.2,True
"8, 7 suited",580,128,0.2206896551724138,0.2,True
"King, 9 off suit",1772,391,0.22065462753950338,0.2,False
"Jack, 3 suited",631,139,0.2202852614896989,0.2,True
"Ace, 2 suited",595,131,0.22016806722689075,0.2,True
"Queen, 8 suited",591,130,0.21996615905245348,0.2,True
"Queen, 7 suited",571,125,0.21891418563922943,0.2,True
"Ace, 8 off suit",1824,392,0.2149122807017544,0.2,False
"Jack, 7 suited",603,129,0.21393034825870647,0.2,True
"Ace, 9 off suit",1774,377,0.2125140924464487,0.2,False
"Ace, 7 off suit",1759,373,0.21205230244457077,0.2,False
"5, 4 suited",576,122,0.21180555555555555,0.2,True
"Ace, 6 off suit",1832,385,0.2101528384279476,0.2,False
7s paired,862,181,0.2099767981438515,0.2,True
"King, 2 suited",640,133,0.2078125,0.2,True
"King, 6 suited",626,130,0.20766773162939298,0.2,True
"6, 4 suited",554,115,0.2075812274368231,0.2,True
"King, 5 suited",627,130,0.20733652312599682,0.2,True
"Queen, 9 off suit",1788,368,0.2058165548098434,0.2,False
6s paired,919,189,0.20565832426550598,0.2,True
"Queen, 6 suited",585,119,0.20341880341880342,0.2,True
"King, 3 suited",615,125,0.2032520325203252,0.2,True
"Jack, 9 off suit",1794,362,0.20178372352285395,0.2,False
"Ace, 5 off suit",1783,359,0.20134604598990466,0.2,False
"Queen, 5 suited",582,117,0.20103092783505155,0.2,True
"King, 4 suited",597,120,0.20100502512562815,0.2,True
"8, 6 suited",607,121,0.19934102141680396,0.15000000000000002,True
"10, 9 off suit",1869,371,0.19850187265917604,0.15000000000000002,False
"Jack, 8 suited",640,126,0.196875,0.15000000000000002,True
"Jack, 6 suited",597,117,0.19597989949748743,0.15000000000000002,True
"7, 4 suited",597,117,0.19597989949748743,0.15000000000000002,True
"9, 8 off suit",1801,351,0.1948917268184342,0.15000000000000002,False
"10, 7 suited",654,126,0.1926605504587156,0.15000000000000002,True
"Queen, 4 suited",619,118,0.19063004846526657,0.15000000000000002,True
