card name,appearances,probability of appearing in a hand,expected_appearances,deviation,percent_deviation,deviation_above_tolerable_threshold
2 of Clubs,10408,0.36538461538461536,10439.038461538461,-31.03846153846098,0.002973306560064792,False
3 of Clubs,10407,0.36538461538461536,10439.038461538461,-32.03846153846098,0.003069100823462172,False
4 of Clubs,10523,0.36538461538461536,10439.038461538461,83.96153846153902,0.008043033730633954,False
5 of Clubs,10544,0.36538461538461536,10439.038461538461,104.96153846153902,0.010054713261978942,True
6 of Clubs,10486,0.36538461538461536,10439.038461538461,46.96153846153902,0.004498645984930879,False
7 of Clubs,10563,0.36538461538461536,10439.038461538461,123.96153846153902,0.01187480426652917,True
8 of Clubs,10415,0.36538461538461536,10439.038461538461,-24.03846153846098,0.002302746716283129,False
9 of Clubs,10414,0.36538461538461536,10439.038461538461,-25.03846153846098,0.0023985409796805097,False
10 of Clubs,10419,0.36538461538461536,10439.038461538461,-20.03846153846098,0.0019195696626936075,False
Jack of Clubs,10382,0.36538461538461536,10439.038461538461,-57.03846153846098,0.005463957408396682,False
Queen of Clubs,10411,0.36538461538461536,10439.038461538461,-28.03846153846098,0.0026859237698726507,False
King of Clubs,10379,0.36538461538461536,10439.038461538461,-60.03846153846098,0.005751340198588823,False
Ace of Clubs,10467,0.36538461538461536,10439.038461538461,27.96153846153902,0.0026785549803806518,False
2 of Diamonds,10409,0.36538461538461536,10439.038461538461,-30.03846153846098,0.0028775122966674116,False
3 of Diamonds,10318,0.36538461538461536,10439.038461538461,-121.03846153846098,0.011594790265829028,True
4 of Diamonds,10486,0.36538461538461536,10439.038461538461,46.96153846153902,0.004498645984930879,False
5 of Diamonds,10423,0.36538461538461536,10439.038461538461,-16.03846153846098,0.0015363926091040859,False
6 of Diamonds,10517,0.36538461538461536,10439.038461538461,77.96153846153902,0.007468268150249671,False
7 of Diamonds,10407,0.36538461538461536,10439.038461538461,-32.03846153846098,0.003069100823462172,False
8 of Diamonds,10432,0.36538461538461536,10439.038461538461,-7.038461538460979,0.0006742442385276623,False
9 of Diamonds,10328,0.36538461538461536,10439.038461538461,-111.03846153846098,0.010636847631855224,True
10 of Diamonds,10367,0.36538461538461536,10439.038461538461,-72.03846153846098,0.006900871359357389,False
Jack of Diamonds,10500,0.36538461538461536,10439.038461538461,60.96153846153902,0.005839765672494205,False
Queen of Diamonds,10342,0.36538461538461536,10439.038461538461,-97.03846153846098,0.009295727944291898,False
King of Diamonds,10470,0.36538461538461536,10439.038461538461,30.96153846153902,0.0029659377705727927,False
Ace of Diamonds,10409,0.36538461538461536,10439.038461538461,-30.03846153846098,0.0028775122966674116,False
2 of Hearts,10388,0.36538461538461536,10439.038461538461,-51.03846153846098,0.0048891918280124,False
3 of Hearts,10530,0.36538461538461536,10439.038461538461,90.96153846153902,0.008713593574415616,False
4 of Hearts,10520,0.36538461538461536,10439.038461538461,80.96153846153902,0.007755650940441813,False
5 of Hearts,10514,0.36538461538461536,10439.038461538461,74.96153846153902,0.00718088536005753,False
6 of Hearts,10449,0.36538461538461536,10439.038461538461,9.961538461539021,0.0009542582392278045,False
7 of Hearts,10596,0.36538461538461536,10439.038461538461,156.96153846153902,0.015036014958642723,True
8 of Hearts,10468,0.36538461538461536,10439.038461538461,28.96153846153902,0.0027743492437780322,False
9 of Hearts,10576,0.36538461538461536,10439.038461538461,136.96153846153902,0.013120129690695115,True
10 of Hearts,10436,0.36538461538461536,10439.038461538461,-3.0384615384609788,0.0002910671849381407,False
Jack of Hearts,10560,0.36538461538461536,10439.038461538461,120.96153846153902,0.01158742147633703,True
Queen of Hearts,10381,0.36538461538461536,10439.038461538461,-58.03846153846098,0.005559751671794063,False
King of Hearts,10471,0.36538461538461536,10439.038461538461,31.96153846153902,0.003061732033970173,False
Ace of Hearts,10327,0.36538461538461536,10439.038461538461,-112.03846153846098,0.010732641895252604,True
2 of Spades,10399,0.36538461538461536,10439.038461538461,-40.03846153846098,0.0038354549306412154,False
3 of Spades,10478,0.36538461538461536,10439.038461538461,38.96153846153902,0.003732291877751836,False
4 of Spades,10411,0.36538461538461536,10439.038461538461,-28.03846153846098,0.0026859237698726507,False
5 of Spades,10250,0.36538461538461536,10439.038461538461,-189.03846153846098,0.018108800176850896,True
6 of Spades,10554,0.36538461538461536,10439.038461538461,114.96153846153902,0.011012655895952747,True
7 of Spades,10453,0.36538461538461536,10439.038461538461,13.961538461539021,0.001337435292817326,False
8 of Spades,10467,0.36538461538461536,10439.038461538461,27.96153846153902,0.0026785549803806518,False
9 of Spades,10359,0.36538461538461536,10439.038461538461,-80.03846153846098,0.007667225466536432,False
10 of Spades,10313,0.36538461538461536,10439.038461538461,-126.03846153846098,0.01207376158281593,True
Jack of Spades,10357,0.36538461538461536,10439.038461538461,-82.03846153846098,0.007858813993331193,False
Queen of Spades,10489,0.36538461538461536,10439.038461538461,49.96153846153902,0.004786028775123021,False
King of Spades,10373,0.36538461538461536,10439.038461538461,-66.03846153846098,0.006326105778973106,False
Ace of Spades,10485,0.36538461538461536,10439.038461538461,45.96153846153902,0.004402851721533499,False
