hole cards flavor,appearances,wins,win ratio,win ratio rounded down to nearest 5%,fewer than expected appearances
Aces paired,917,397,0.43293347873500543,0.4,True
Kings paired,877,336,0.3831242873432155,0.35000000000000003,True
Queens paired,980,333,0.33979591836734696,0.30000000000000004,True
"Ace, King suited",614,183,0.2980456026058632,0.25,True
"Ace, Queen suited",604,179,0.29635761589403975,0.25,True
Jacks paired,825,240,0.2909090909090909,0.25,True
"King, Queen suited",626,179,0.28594249201277955,0.25,True
"Ace, 10 suited",614,165,0.2687296416938111,0.25,True
10s paired,901,239,0.26526082130965595,0.25,True
"Queen, Jack suited",571,147,0.2574430823117338,0.25,True
"King, Jack suited",574,145,0.25261324041811845,0.25,True
"Queen, 10 suited",624,157,0.2516025641025641,0.25,True
"Ace, King off suit",1813,442,0.24379481522338664,0.2,False
"Ace, Queen off suit",1879,457,0.24321447578499203,0.2,False
"Ace, Jack suited",614,146,0.23778501628664495,0.2,True
9s paired,883,209,0.23669309173272934,0.2,True
"Jack, 10 suited",655,154,0.23511450381679388,0.2,True
"King, 10 suited",636,149,0.23427672955974843,0.2,True
"King, Queen off suit",1735,398,0.22939481268011527,0.2,False
"Ace, 8 suited",601,136,0.22628951747088186,0.2,True
"Ace, 10 off suit",1773,399,0.22504230118443316,0.2,False
"King, 4 suited",612,137,0.2238562091503268,0.2,True
"Ace, 9 suited",631,141,0.22345483359746435,0.2,True
"Queen, Jack off suit",1726,383,0.22190034762456548,0.2,False
"Ace, Jack off suit",1819,399,0.21935129191863662,0.2,False
"Ace, 6 suited",622,135,0.2170418006430868,0.2,True
"Queen, 9 suited",592,128,0.21621621621621623,0.2,True
"10, 9 suited",630,136,0.21587301587301588,0.2,True
"Queen, 10 off suit",1742,373,0.21412169919632607,0.2,False
"Ace, 2 suited",555,118,0.2126126126126126,0.2,True
8s paired,974,205,0.2104722792607803,0.2,True
"Queen, 7 suited",615,129,0.2097560975609756,0.2,True
"King, Jack off suit",1750,367,0.20971428571428571,0.2,False
"Ace, 4 suited",611,128,0.20949263502454993,0.2,True
"9, 8 suited",586,120,0.20477815699658702,0.2,True
"10, 7 suited",601,121,0.20133111480865223,0.2,True
"Jack, 9 suited",587,118,0.2010221465076661,0.2,True
"King, 10 off suit",1785,357,0.2,0.2,False
"9, 7 suited",590,118,0.2,0.2,True
"King, 8 suited",594,117,0.19696969696969696,0.15000000000000002,True
"Queen, 6 suited",590,115,0.19491525423728814,0.15000000000000002,True
"Jack, 10 off suit",1823,353,0.1936368623148656,0.15000000000000002,False
"King, 9 suited",591,113,0.19120135363790186,0.15000000000000002,True
"Ace, 3 suited",612,117,0.19117647058823528,0.15000000000000002,True
"Ace, 8 off suit",1734,328,0.18915801614763553,0.15000000000000002,False
7s paired,889,167,0.18785151856017998,0.15000000000000002,True
"Ace, 9 off suit",1859,349,0.18773534158149544,0.15000000000000002,False
"King, 3 suited",613,115,0.18760195758564438,0.15000000000000002,True
"Jack, 7 suited",589,110,0.1867572156196944,0.15000000000000002,True
"Ace, 5 suited",579,108,0.18652849740932642,0.15000000000000002,True
6s paired,870,162,0.18620689655172415,0.15000000000000002,True
"Ace, 7 off suit",1746,325,0.1861397479954181,0.15000000000000002,False
"Ace, 7 suited",618,115,0.18608414239482202,0.15000000000000002,True
"10, 8 suited",618,112,0.18122977346278318,0.15000000000000002,True
"Queen, 5 suited",637,115,0.18053375196232338,0.15000000000000002,True
"9, 6 suited",651,117,0.17972350230414746,0.15000000000000002,True
"Ace, 5 off suit",1784,320,0.17937219730941703,0.15000000000000002,False
"Jack, 5 suited",598,107,0.17892976588628762,0.15000000000000002,True
"Queen, 9 off suit",1744,311,0.1783256880733945,0.15000000000000002,False
"6, 5 suited",603,107,0.17744610281923714,0.15000000000000002,True
"10, 9 off suit",1750,310,0.17714285714285713,0.15000000000000002,False
5s paired,956,168,0.17573221757322174,0.15000000000000002,True
"5, 3 suited",609,107,0.17569786535303777,0.15000000000000002,True
"Jack, 8 suited",661,116,0.17549167927382753,0.15000000000000002,True
"King, 6 suited",652,113,0.17331288343558282,0.15000000000000002,True
"Jack, 9 off suit",1872,324,0.17307692307692307,0.15000000000000002,False
"King, 7 suited",579,99,0.17098445595854922,0.15000000000000002,True
"Jack, 2 suited",563,96,0.1705150976909414,0.15000000000000002,True
"King, 9 off suit",1798,306,0.17018909899888765,0.15000000000000002,False
"Jack, 8 off suit",1852,315,0.17008639308855292,0.15000000000000002,False
"8, 2 suited",577,98,0.16984402079722705,0.15000000000000002,True
"Queen, 8 off suit",1797,303,0.1686143572621035,0.15000000000000002,False
"Queen, 8 suited",599,101,0.1686143572621035,0.15000000000000002,True
"Queen, 3 suited",630,106,0.16825396825396827,0.15000000000000002,True
"Queen, 2 suited",616,103,0.1672077922077922,0.15000000000000002,True
"8, 6 suited",600,100,0.16666666666666666,0.15000000000000002,True
"9, 5 suited",602,99,0.1644518272425249,0.15000000000000002,True
"Ace, 6 off suit",1847,303,0.16404981050351922,0.15000000000000002,False
"10, 8 off suit",1797,293,0.16304952698942682,0.15000000000000002,False
"King, 5 suited",652,106,0.16257668711656442,0.15000000000000002,True
"Ace, 4 off suit",1706,276,0.16178194607268465,0.15000000000000002,False
"10, 5 suited",600,97,0.16166666666666665,0.15000000000000002,True
"Jack, 6 suited",615,99,0.16097560975609757,0.15000000000000002,True
"Queen, 4 suited",582,93,0.15979381443298968,0.15000000000000002,True
"6, 4 suited",596,95,0.1593959731543624,0.15000000000000002,True
"9, 8 off suit",1876,299,0.1593816631130064,0.15000000000000002,False
"King, 7 off suit",1805,286,0.15844875346260387,0.15000000000000002,False
"8, 7 off suit",1803,284,0.15751525235718247,0.15000000000000002,False
"8, 7 suited",610,96,0.15737704918032788,0.15000000000000002,True
"10, 6 suited",587,92,0.1567291311754685,0.15000000000000002,True
"Ace, 3 off suit",1817,280,0.15410016510731975,0.15000000000000002,False
"9, 7 off suit",1785,275,0.15406162464985995,0.15000000000000002,False
2s paired,916,140,0.15283842794759825,0.15000000000000002,True
"10, 7 off suit",1814,277,0.15270121278941565,0.15000000000000002,False
"10, 2 suited",617,94,0.15235008103727715,0.15000000000000002,True
"5, 2 suited",586,89,0.15187713310580206,0.15000000000000002,True
"5, 4 suited",606,92,0.15181518151815182,0.15000000000000002,True
"King, 8 off suit",1840,279,0.1516304347826087,0.15000000000000002,False
"7, 6 suited",601,91,0.15141430948419302,0.15000000000000002,True
"Queen, 6 off suit",1839,276,0.1500815660685155,0.15000000000000002,False
4s paired,870,130,0.14942528735632185,0.1,True
"9, 4 suited",600,89,0.14833333333333334,0.1,True
"King, 2 suited",615,91,0.14796747967479676,0.1,True
3s paired,878,129,0.1469248291571754,0.1,True
"8, 5 suited",579,85,0.14680483592400692,0.1,True
"7, 6 off suit",1820,267,0.1467032967032967,0.1,False
"10, 3 suited",630,92,0.14603174603174604,0.1,True
"King, 4 off suit",1815,263,0.14490358126721764,0.1,False
"8, 4 suited",594,86,0.1447811447811448,0.1,True
"10, 4 suited",606,87,0.14356435643564355,0.1,True
"King, 6 off suit",1759,252,0.14326321773735076,0.1,False
"Jack, 3 suited",576,81,0.140625,0.1,True
"7, 2 suited",584,82,0.1404109589041096,0.1,True
"4, 3 suited",599,84,0.14023372287145242,0.1,True
"Jack, 6 off suit",1866,258,0.1382636655948553,0.1,False
"7, 5 suited",608,84,0.13815789473684212,0.1,True
"Ace, 2 off suit",1824,251,0.13760964912280702,0.1,False
"Jack, 7 off suit",1836,251,0.13671023965141613,0.1,False
"Queen, 7 off suit",1846,252,0.13651137594799567,0.1,False
"9, 3 suited",558,76,0.13620071684587814,0.1,True
"3, 2 suited",613,83,0.13539967373572595,0.1,True
"King, 3 off suit",1854,251,0.1353829557713053,0.1,False
"King, 5 off suit",1802,243,0.13485016648168702,0.1,False
"6, 3 suited",661,89,0.1346444780635401,0.1,True
"King, 2 off suit",1817,243,0.1337369290038525,0.1,False
"5, 4 off suit",1878,251,0.1336528221512247,0.1,False
"8, 6 off suit",1722,228,0.13240418118466898,0.1,False
"7, 4 suited",660,87,0.1318181818181818,0.1,True
"7, 5 off suit",1883,247,0.13117365905469994,0.1,False
