n_players,all_cards_in_the_hand,winning_type,n_winners,winning_hands,winning_hole_cards_flavors,community_cards,your_hand,you_win,you_win_as_float,player_1s_hand,player_1_wins,player_1_wins_as_float,n_cards_in_hand,2 of Clubs,3 of Clubs,4 of Clubs,5 of Clubs,6 of Clubs,7 of Clubs,8 of Clubs,9 of Clubs,10 of Clubs,Jack of Clubs,Queen of Clubs,King of Clubs,Ace of Clubs,2 of Diamonds,3 of Diamonds,4 of Diamonds,5 of Diamonds,6 of Diamonds,7 of Diamonds,8 of Diamonds,9 of Diamonds,10 of Diamonds,Jack of Diamonds,Queen of Diamonds,King of Diamonds,Ace of Diamonds,2 of Hearts,3 of Hearts,4 of Hearts,5 of Hearts,6 of Hearts,7 of Hearts,8 of Hearts,9 of Hearts,10 of Hearts,Jack of Hearts,Queen of Hearts,King of Hearts,Ace of Hearts,2 of Spades,3 of Spades,4 of Spades,5 of Spades,6 of Spades,7 of Spades,8 of Spades,9 of Spades,10 of Spades,Jack of Spades,Queen of Spades,King of Spades,Ace of Spades
2,"[<src.card.Card object at 0x0000022B2DB8EF00>, <src.card.Card object at 0x0000022B2DB8D0D0>, <src.card.Card object at 0x0000022B2DB8E480>, <src.card.Card object at 0x0000022B2DB8D490>, <src.card.Card object at 0x0000022B2DB8DB50>, <src.card.Card object at 0x0000022B2DB8CDA0>, <src.card.Card object at 0x0000022B2DB8D6D0>, <src.card.Card object at 0x0000022B2DB8EB40>, <src.card.Card object at 0x0000022B2DB8D850>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x0000022B2D7B2600>],"['Queen, Jack off suit']","
The community cards are:
Queen of Diamonds
7 of Clubs
6 of Diamonds
7 of Spades
8 of Diamonds",Two Pair: Queens over 7s with Jack kicker.,True,1.0,"Pair: 7s with ['Queen', 'Jack', '8'] kicker/s.",False,0.0,9,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2,"[<src.card.Card object at 0x000001FF28E4D550>, <src.card.Card object at 0x000001FF28E4D9D0>, <src.card.Card object at 0x000001FF28E4F440>, <src.card.Card object at 0x000001FF28E4D910>, <src.card.Card object at 0x000001FF28E4D610>, <src.card.Card object at 0x000001FF28E4ECC0>, <src.card.Card object at 0x000001FF28E4D3D0>, <src.card.Card object at 0x000001FF28E4E450>, <src.card.Card object at 0x000001FF28E4E2D0>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x000001FF28D0FB00>],"['Jack, 4 off suit']","
The community cards are:
Queen of Clubs
3 of Spades
9 of Clubs
5 of Hearts
3 of Hearts","Pair: 3s with ['Queen', 'Jack', '9'] kicker/s.",False,0.0,"Three of a Kind: 3s with ['King', 'Queen'] kicker/s.",True,1.0,9,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2,"[<src.card.Card object at 0x000001D5FFB5D610>, <src.card.Card object at 0x000001D5FFB5F200>, <src.card.Card object at 0x000001D5FFB5EC00>, <src.card.Card object at 0x000001D5FFB5EA80>, <src.card.Card object at 0x000001D5FFB5F2C0>, <src.card.Card object at 0x000001D5FFB5D250>, <src.card.Card object at 0x000001D5FFB5D490>, <src.card.Card object at 0x000001D5FFB5EB40>, <src.card.Card object at 0x000001D5FFB5E6C0>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x000001D5FDCB85C0>],"['Ace, Queen off suit']","
The community cards are:
King of Spades
9 of Clubs
Queen of Clubs
3 of Spades
10 of Hearts","Pair: Queens with ['Ace', 'King', '10'] kicker/s.",True,1.0,"Hi cards, ['King', 'Queen', '10', '9', '4'].",False,0.0,9,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False
2,"[<src.card.Card object at 0x000001E3DCEADD30>, <src.card.Card object at 0x000001E3DCEADF70>, <src.card.Card object at 0x000001E3DCEAD370>, <src.card.Card object at 0x000001E3DCEAED20>, <src.card.Card object at 0x000001E3DCEAD970>, <src.card.Card object at 0x000001E3DCEAF0E0>, <src.card.Card object at 0x000001E3DCEACEC0>, <src.card.Card object at 0x000001E3DCEAE1B0>, <src.card.Card object at 0x000001E3DCEACE00>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x000001E3DAFE3980>],"['Queen, 2 off suit']","
The community cards are:
7 of Diamonds
Queen of Spades
6 of Clubs
5 of Hearts
5 of Clubs",Two Pair: Queens over 5s with 7 kicker.,False,0.0,Two Pair: Queens over 7s with 6 kicker.,True,1.0,9,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2,"[<src.card.Card object at 0x00000260EF9A7440>, <src.card.Card object at 0x00000260EF9A5F10>, <src.card.Card object at 0x00000260EF9A62D0>, <src.card.Card object at 0x00000260EF9A72C0>, <src.card.Card object at 0x00000260EF9A7380>, <src.card.Card object at 0x00000260EF9A5D90>, <src.card.Card object at 0x00000260EF9A6090>, <src.card.Card object at 0x00000260EF9A68D0>, <src.card.Card object at 0x00000260EF9A59A0>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x00000260CBD87D10>],"['7, 5 off suit']","
The community cards are:
6 of Spades
3 of Diamonds
7 of Diamonds
5 of Hearts
Jack of Clubs",Two Pair: 7s over 5s with Jack kicker.,True,1.0,"Pair: 5s with ['Jack', '10', '7'] kicker/s.",False,0.0,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
2,"[<src.card.Card object at 0x000002A86375E870>, <src.card.Card object at 0x000002A86375D100>, <src.card.Card object at 0x000002A86375DC40>, <src.card.Card object at 0x000002A86375D880>, <src.card.Card object at 0x000002A86375EDB0>, <src.card.Card object at 0x000002A86375D340>, <src.card.Card object at 0x000002A86375ECF0>, <src.card.Card object at 0x000002A86375E570>, <src.card.Card object at 0x000002A86375DDC0>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x000002A862BB7320>],"['King, 8 off suit']","
The community cards are:
7 of Spades
Jack of Clubs
6 of Spades
9 of Hearts
Queen of Diamonds","Hi cards, ['King', 'Queen', 'Jack', '9', '8'].",True,1.0,"Hi cards, ['Queen', 'Jack', '10', '9', '7'].",False,0.0,9,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
2,"[<src.card.Card object at 0x000001D6E6C4E5D0>, <src.card.Card object at 0x000001D6E6C4D820>, <src.card.Card object at 0x000001D6E6C4D460>, <src.card.Card object at 0x000001D6E6C4D160>, <src.card.Card object at 0x000001D6E6C4CD10>, <src.card.Card object at 0x000001D6E4E47140>, <src.card.Card object at 0x000001D6E6C4DD60>, <src.card.Card object at 0x000001D6E6C4CFB0>, <src.card.Card object at 0x000001D6E6C4DA60>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x000001D6E6B28A40>],"['8, 3 off suit']","
The community cards are:
3 of Clubs
2 of Clubs
10 of Diamonds
5 of Clubs
6 of Diamonds","Pair: 3s with ['10', '8', '6'] kicker/s.",False,0.0,"Flush: Jack, 7, 5, 3, 2, in Clubs.",True,1.0,9,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"[<src.card.Card object at 0x000001C187D9EE70>, <src.card.Card object at 0x000001C187D9E300>, <src.card.Card object at 0x000001C187D9DDC0>, <src.card.Card object at 0x000001C187D9D190>, <src.card.Card object at 0x000001C187D9DAC0>, <src.card.Card object at 0x000001C187D9EB70>, <src.card.Card object at 0x000001C187D9E000>, <src.card.Card object at 0x000001C187D9EAB0>, <src.card.Card object at 0x000001C187D9E930>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x000001C1860F8830>],"['6, 4 off suit']","
The community cards are:
6 of Diamonds
2 of Spades
King of Diamonds
Ace of Hearts
Queen of Hearts","Pair: 6s with ['Ace', 'King', 'Queen'] kicker/s.",True,1.0,"Hi cards, ['Ace', 'King', 'Queen', '10', '7'].",False,0.0,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
2,"[<src.card.Card object at 0x000001FC4A6CF170>, <src.card.Card object at 0x000001FC4A6CE180>, <src.card.Card object at 0x000001FC4A6CCDD0>, <src.card.Card object at 0x000001FC4A37BA10>, <src.card.Card object at 0x000001FC4A6CEFF0>, <src.card.Card object at 0x000001FC4A6CDB80>, <src.card.Card object at 0x000001FC4A6CDE80>, <src.card.Card object at 0x000001FC4A6CD1C0>, <src.card.Card object at 0x000001FC4A6CE0C0>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x000001FC4A3134A0>],"['King, 5 off suit']","
The community cards are:
Jack of Spades
10 of Diamonds
Ace of Diamonds
10 of Clubs
4 of Hearts","Pair: 10s with ['Ace', 'King', 'Jack'] kicker/s.",True,1.0,"Pair: 10s with ['Ace', 'Jack', '5'] kicker/s.",False,0.0,9,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2,"[<src.card.Card object at 0x0000016BCF9FE7B0>, <src.card.Card object at 0x0000016BCF9FEE70>, <src.card.Card object at 0x0000016BCF9FE0C0>, <src.card.Card object at 0x0000016BCF9FDAC0>, <src.card.Card object at 0x0000016BCF9FE9F0>, <src.card.Card object at 0x0000016BCF9FD4C0>, <src.card.Card object at 0x0000016BCF9FE930>, <src.card.Card object at 0x0000016BCF9FDB80>, <src.card.Card object at 0x0000016BCDB4F8F0>]",Single winner,1,[<src.player_hand.PlayerHand object at 0x0000016BCDC6CE90>],"['10, 6 off suit']","
The community cards are:
King of Hearts
Jack of Clubs
Queen of Hearts
7 of Diamonds
2 of Clubs","Hi cards, ['King', 'Queen', 'Jack', '10', '7'].",False,0.0,"Hi cards, ['Ace', 'King', 'Queen', 'Jack', '7'].",True,1.0,9,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
